h3_cell,grid_lat,grid_lon,year,actual_hrs,actual_risk_label,predicted_risk_label,predicted_prob_High,predicted_prob_Low,predicted_prob_Medium,eq_count_3yr,seismic_energy_3yr,mean_depth_3yr
854ba8dbfffffff,24,123,2002,8.301029995663981,Low,Low,0.13588377979901167,0.5654124239238795,0.298703796277109,3,6226182.790856085,10.0
854ba8dbfffffff,24,123,2003,11.077121254719662,High,High,0.7961565506424749,0.05312808670670582,0.1507153626508193,4,7226182.790856085,20.3
854ba8dbfffffff,24,123,2004,8.877121254719663,Medium,Medium,0.07470741173414976,0.10300935224572236,0.8222832360201278,3,94106165.51890938,54.06666666666666
854ba8dbfffffff,24,123,2005,9.277121254719663,Medium,Medium,0.16648643598494914,0.11140869093552976,0.7221048730795211,5,97513965.378501,54.9
854ba8dbfffffff,24,123,2006,0.0,Low,Medium,0.19719672520130208,0.22913748752804783,0.5736657872706501,6,102490299.39900488,53.31666666666666
854ba8dbfffffff,24,123,2007,8.301029995663981,Low,Low,0.17268603086770526,0.46193740000978845,0.3653765691225064,4,9384133.880095497,52.225
854ba8dbfffffff,24,123,2008,9.677121254719662,Medium,Medium,0.1168689274935805,0.09316013127020684,0.7899709412362125,3,6976334.020503861,49.76666666666667
854ba8dbfffffff,24,123,2009,9.30102999566398,Medium,Medium,0.17705701615629557,0.165427948942433,0.6575150349012715,3,12924354.052777782,31.633333333333336
854ba8dbfffffff,24,123,2010,0.0,Low,Medium,0.15002392577513132,0.29139767193641,0.5585784022884589,4,18547767.304681275,35.725
854ba8dbfffffff,24,123,2011,9.30102999566398,Medium,Medium,0.2171739412937124,0.1645277137492042,0.6182983449570836,3,17547767.304681275,30.066666666666663
854ba8dbfffffff,24,123,2012,0.0,Low,Medium,0.08133134371197853,0.39847293661037564,0.5201957196776459,2,11246826.503806982,50.45
854ba8dbfffffff,24,123,2013,8.701029995663982,Medium,Medium,0.08782756746775972,0.28129096025227635,0.6308814722799638,1,5623413.251903491,52.9
