grid_lat,grid_lon,year,eq_count_3yr,eq_count_1yr,mean_mag_3yr,max_mag_3yr,mean_depth_3yr,seismic_energy_3yr,seismic_energy_1yr,freq_trend,mag_trend,target_count,target_max_mag,target_energy,target_hrs,risk_label
24,123,2002,3,0,4.2,4.3,10.0,6226182.790856085,0.0,0.0,-0.2000000000000001,1,4.0,1000000.0,8.301029995663981,Low
24,123,2003,4,1,4.15,4.3,20.3,7226182.790856085,1000000.0,0.625,-0.2000000000000001,2,5.3,93106165.51890938,11.077121254719662,High
24,123,2004,3,2,4.566666666666666,5.3,54.06666666666666,94106165.51890938,93106165.51890938,3.333333333333333,0.8499999999999996,2,4.2,3407799.8595916354,8.877121254719663,Medium
24,123,2005,5,2,4.4,5.3,54.9,97513965.378501,3407799.8595916354,1.25,-0.4166666666666661,2,4.4,5976334.02050386,9.277121254719663,Medium
24,123,2006,6,2,4.433333333333334,5.3,53.31666666666666,102490299.39900488,5976334.02050386,0.9523809523809524,-0.1999999999999993,0,0.0,0.0,0.0,Low
24,123,2007,4,0,4.225,4.4,52.225,9384133.880095497,0.0,0.0,-0.2249999999999996,1,4.0,1000000.0,8.301029995663981,Low
24,123,2008,3,1,4.2,4.4,49.76666666666667,6976334.020503861,1000000.0,0.9090909090909092,-0.3000000000000007,2,4.6,11924354.052777782,9.677121254719662,Medium
24,123,2009,3,2,4.333333333333333,4.6,31.633333333333336,12924354.052777782,11924354.052777782,3.333333333333333,0.5,1,4.5,5623413.251903491,9.301029995663981,Medium
24,123,2010,4,1,4.375,4.6,35.725,18547767.304681275,5623413.251903491,0.625,0.1666666666666669,0,0.0,0.0,0.0,Low
24,123,2011,3,0,4.5,4.6,30.066666666666663,17547767.304681275,0.0,0.0,-0.5,1,4.5,5623413.251903491,9.301029995663981,Medium
24,123,2012,2,1,4.5,4.5,50.45,11246826.503806982,5623413.251903491,1.6666666666666667,0.0,0,0.0,0.0,0.0,Low
24,123,2013,1,0,4.5,4.5,52.9,5623413.251903491,0.0,0.0,-0.5,1,4.2,1995262.3149688828,8.701029995663982,Medium
24,123,2014,2,1,4.35,4.5,31.45,7618675.566872374,1995262.3149688828,1.6666666666666667,-0.2999999999999998,1,4.1,1412537.5446227526,8.50102999566398,Medium
24,123,2015,2,1,4.15,4.2,47.98,3407799.8595916354,1412537.5446227526,1.6666666666666667,-0.1000000000000005,3,4.5,11599747.272407353,9.602059991327963,Medium
24,123,2016,5,3,4.279999999999999,4.5,36.014,15007547.131998986,11599747.272407353,2.727272727272727,0.2166666666666659,1,4.1,1412537.5446227526,8.50102999566398,Medium
24,123,2017,5,1,4.260000000000001,4.5,47.456,14424822.361652857,1412537.5446227526,0.4761904761904761,-0.2000000000000001,1,4.8,15848931.924611108,9.901029995663981,Medium
24,123,2018,5,1,4.4,4.8,39.17999999999999,28861216.74164121,15848931.924611108,0.4761904761904761,0.4999999999999991,1,4.1,1412537.5446227526,8.50102999566398,Medium
24,123,2019,3,1,4.333333333333333,4.8,53.38,18674007.01385661,1412537.5446227526,0.9090909090909092,-0.3499999999999996,1,4.3,2818382.9312644494,8.901029995663981,Medium
24,123,2020,3,1,4.4,4.8,53.01333333333334,20079852.40049831,2818382.9312644494,0.9090909090909092,-0.1499999999999994,5,4.8,39697640.03016668,10.378151250383644,Medium
24,123,2021,7,5,4.457142857142856,4.8,35.05571428571428,43928560.50605388,39697640.03016668,4.545454545454545,0.3600000000000003,1,4.6,7943282.347242805,9.50102999566398,Medium
24,123,2022,7,1,4.528571428571428,4.8,39.01428571428572,50459305.30867393,7943282.347242805,0.3225806451612903,0.0833333333333339,2,4.9,25205594.316947877,10.277121254719663,Medium
24,123,2023,8,2,4.574999999999999,4.9,38.01575,72846516.69435735,25205594.316947877,0.6451612903225806,0.0333333333333332,1,4.4,3981071.7055349774,9.101029995663982,Medium
24,123,2024,4,1,4.55,4.9,58.83425,37129948.36972565,3981071.7055349774,0.625,-0.1999999999999993,2,4.5,11246826.503806982,9.477121254719663,Medium
24,124,2002,8,2,4.35,4.6,39.3,32070153.21138053,3990524.6299377657,0.6451612903225806,-0.1999999999999993,3,4.7,27106749.237505265,10.002059991327963,Medium
