grid_lat,grid_lon,avg_annual_count,max_magnitude,avg_magnitude,avg_depth,avg_energy,cluster
24,123,1.3043478260869565,5.3,4.376842650103519,42.38014492753623,10477782.84489574,1
24,124,2.4347826086956523,5.2,4.419870600414079,34.88669099378882,18044972.04444656,1
24,125,4.260869565217392,6.3,4.49218860825209,35.44598014396504,234910789.7034577,1
24,126,1.7391304347826086,6.0,4.453728092027325,21.880371176138443,58442937.482050955,1
24,127,1.6956521739130435,5.0,4.440983436853002,18.74966977225673,11721883.666132743,1
24,128,0.13043478260869565,4.9,4.208695652173913,6.665217391304348,1491807.1929765742,0
24,129,0.043478260869565216,4.4,4.052173913043478,3.717391304347826,173090.07415369467,0
24,139,0.043478260869565216,4.6,4.078260869565217,1.9578260869565218,345360.102054035,0
24,141,1.0869565217391304,5.6,4.395144927536232,153.27253623188406,15962925.658571804,2
24,142,2.130434782608696,5.6,4.503962764288851,96.3996993067319,27137246.637780547,1
24,143,3.0869565217391304,6.2,4.601739254672384,35.0915871993975,141242187.62650365,1
24,144,0.08695652173913043,4.7,4.1,1.7391304347826086,574584.6459995015,0
24,145,0.13043478260869565,4.9,4.1521739130434785,6.110434782608697,1189925.3517921045,0
25,123,8.652173913043478,6.4,4.43183636664921,64.40275127007658,250434694.50083306,1
25,124,6.782608695652174,5.7,4.482099567605121,72.57041155750672,106831311.34569836,1
25,125,4.826086956521739,5.4,4.503210376826801,50.92180280256285,54913874.94440355,1
25,126,1.9130434782608696,5.9,4.488554440728354,47.97985332590115,75319426.7206678,1
25,127,2.652173913043478,5.3,4.422718646088211,27.194782075412512,19266208.555774957,1
25,128,4.304347826086956,5.7,4.425809281395044,18.502425245730898,47346181.42785739,1
25,129,0.30434782608695654,5.3,4.404347826086957,20.64782608695652,8098301.939993064,1
25,130,0.08695652173913043,5.3,4.130434782608695,1.3043478260869565,4362838.189408436,0
25,134,0.043478260869565216,4.2,4.0260869565217385,1.3043478260869565,86750.53543342969,0
25,135,0.043478260869565216,4.7,4.091304347826087,5.021739130434782,487834.1105660718,0
