grid_lat,grid_lon,year,eq_count_3yr,eq_count_1yr,mean_mag_3yr,max_mag_3yr,mean_depth_3yr,seismic_energy_3yr,seismic_energy_1yr,freq_trend,mag_trend,target_count,target_max_mag,target_energy
36,133,2021,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,133,2022,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1,4.3,2818382.9312644494
36,133,2023,1,1,4.3,4.3,10.516,2818382.9312644494,2818382.9312644494,10.0,0.2999999999999998,0,0.0,0.0
36,133,2024,1,0,4.3,4.3,10.516,2818382.9312644494,0.0,0.0,-0.2999999999999998,0,0.0,0.0
36,134,2002,5,0,4.32,4.5,23.8,17403939.594237894,0.0,0.0,-0.3200000000000003,0,0.0,0.0
36,134,2003,5,0,4.32,4.5,23.8,17403939.594237894,0.0,0.0,-0.3200000000000003,0,0.0,0.0
36,134,2004,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,134,2005,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,134,2006,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,134,2007,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,134,2008,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,134,2009,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,134,2010,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,134,2011,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,134,2012,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,134,2013,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,134,2014,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,134,2015,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1,4.1,1412537.5446227526
36,134,2016,1,1,4.1,4.1,10.0,1412537.5446227526,1412537.5446227526,10.0,0.09999999999999964,0,0.0,0.0
36,134,2017,1,0,4.1,4.1,10.0,1412537.5446227526,0.0,0.0,-0.09999999999999964,0,0.0,0.0
36,134,2018,1,0,4.1,4.1,10.0,1412537.5446227526,0.0,0.0,-0.09999999999999964,0,0.0,0.0
36,134,2019,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,134,2020,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,134,2021,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,134,2022,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,134,2023,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,134,2024,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,135,2002,1,0,5.5,5.5,346.5,177827941.00389227,0.0,0.0,-1.5,0,0.0,0.0
36,135,2003,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2,4.3,4230920.475887202
36,135,2004,2,2,4.199999999999999,4.3,351.15,4230920.475887202,4230920.475887202,20.0,0.1999999999999993,0,0.0,0.0
36,135,2005,2,0,4.199999999999999,4.3,351.15,4230920.475887202,0.0,0.0,-0.1999999999999993,0,0.0,0.0
36,135,2006,2,0,4.199999999999999,4.3,351.15,4230920.475887202,0.0,0.0,-0.1999999999999993,0,0.0,0.0
36,135,2007,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,135,2008,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,135,2009,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,135,2010,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1,4.4,3981071.7055349774
36,135,2011,1,1,4.4,4.4,367.6,3981071.7055349774,3981071.7055349774,10.0,0.40000000000000036,0,0.0,0.0
36,135,2012,1,0,4.4,4.4,367.6,3981071.7055349774,0.0,0.0,-0.40000000000000036,1,4.5,5623413.251903491
